bugid,nl_tokens,code_tokens,classnames,explicit_mentions
123695,424,162,172,5
124105,20,2,1,0
124654,118,25,38,1
124808,98,20,26,2
124999,84,20,20,0
125101,33,4,4,0
125405,100,30,54,1
125475,36,7,10,1
125480,102,6,24,0
125699,38,5,4,0
125810,31,0,7,0
126328,37,2,4,0
128128,87,10,8,1
128237,365,181,155,0
128618,91,7,11,2
128655,60,17,33,1
128699,55,1,6,0
128744,157,12,17,1
129525,50,1,5,0
129566,106,17,38,1
130300,27,3,1,0
130837,31,19,39,1
130869,93,6,20,0
131505,67,2,8,1
131932,48,3,11,0
131933,54,28,49,1
132130,73,3,16,0
132349,191,52,107,2
132591,69,12,25,1
132926,61,21,31,0
133117,45,2,5,0
133307,42,7,16,0
134541,73,2,11,0
135001,23,22,33,0
135068,59,6,9,0
135780,106,19,22,1
136665,303,154,182,0
136707,30,1,2,0
138143,84,23,39,2
138171,66,18,32,1
138215,40,2,5,0
138219,45,2,10,0
138223,245,124,166,1
138286,136,62,76,1
138540,51,5,5,0
141956,313,48,64,1
142165,26,0,2,0
145086,39,4,14,1
145693,14,3,2,0
145950,79,2,14,1
146546,34,4,3,2
147701,141,59,75,1
147801,178,39,51,0
148388,45,7,17,0
148409,174,44,41,1
148536,37,17,29,1
148537,55,35,54,3
148545,141,38,62,4
148693,721,107,148,0
148727,107,28,35,1
148737,85,16,29,0
148786,75,14,23,0
148908,76,4,13,0
148972,99,1,10,0
149071,138,12,27,1
149289,61,3,8,0
149305,105,30,30,6
150271,84,6,2,0
150671,116,2,13,0
151182,152,21,19,0
151673,267,18,30,0
151845,78,8,8,1
151938,158,3,6,0
152257,150,27,31,2
152366,68,1,6,0
152388,145,45,49,1
152589,280,23,40,0
152631,405,170,148,0
152848,50,34,51,1
152871,178,15,13,1
152873,133,2,11,0
153490,163,70,59,1
153535,377,139,156,0
153845,51,27,41,1
154332,93,10,17,1
155148,264,103,133,0
155238,49,5,7,0
155972,28,7,6,0
156904,97,4,17,3
156962,29,3,3,0
158412,48,28,49,0
158573,105,5,10,0
158624,1386,734,508,2
159896,33,1,6,0
161217,178,49,20,0
173602,37,16,32,1
