Modifying TestDateWritable to cover 200 years,  adding all timezones to the set, and making it accumulate errors, results in the following set (I bet many are duplicates via different names, but there's enough).
This ONLY logs errors where YMD date mismatches. There are many more where YMD is the same but the time mismatches, omitted for brevity.
Queries as simple as "select date(...);" reproduce the error (if Java tz is set to a problematic tz)
I was investigating some case for a specific date and it seems like the conversion from dates to ms, namely offset calculation that takes the offset at UTC midnight and the offset at arbitrary time derived from that, is completely bogus and it's not clear why it would work.
I think we either need to derive date from UTC and then create local date from YMD if needed (for many cases e.g. toString for sinks, it would not be needed at all), and/or add a lookup table for timezone used (for popular dates, e.g. 1900-present, it would be 40k-odd entries, although the price of building it is another question).
Format: tz-expected-actual

2016-06-04T18:33:57,499 ERROR [main[]]: io.TestDateWritable (TestDateWritable.java:testDaylightSavingsTime(234)) - 
Africa/Timbuktu: 1912-01-01 00:16:08 != 1912-12-31 23:43:52

America/Anguilla: 1912-03-02 00:06:04 != 1912-03-01 23:53:56

America/Antigua: 1951-01-01 01:00:00 != 1951-12-31 23:00:00

America/Araguaina: 1914-01-01 00:12:48 != 1914-12-31 23:47:12

America/Araguaina: 1932-10-03 01:00:00 != 1932-10-02 23:00:00

America/Araguaina: 1949-12-01 01:00:00 != 1949-11-30 23:00:00

America/Argentina/Buenos_Aires: 1920-05-01 00:16:48 != 1920-04-30 23:43:12

America/Argentina/Buenos_Aires: 1930-12-01 01:00:00 != 1930-11-30 23:00:00

America/Argentina/Buenos_Aires: 1931-10-15 01:00:00 != 1931-10-14 23:00:00

America/Argentina/Buenos_Aires: 1932-11-01 01:00:00 != 1932-10-31 23:00:00

America/Argentina/Buenos_Aires: 1933-11-01 01:00:00 != 1933-10-31 23:00:00

America/Argentina/Buenos_Aires: 1934-11-01 01:00:00 != 1934-10-31 23:00:00

America/Argentina/Buenos_Aires: 1935-11-01 01:00:00 != 1935-10-31 23:00:00

America/Argentina/Buenos_Aires: 1936-11-01 01:00:00 != 1936-10-31 23:00:00

America/Argentina/Buenos_Aires: 1937-11-01 01:00:00 != 1937-10-31 23:00:00

America/Argentina/Buenos_Aires: 1938-11-01 01:00:00 != 1938-10-31 23:00:00

America/Argentina/Buenos_Aires: 1939-11-01 01:00:00 != 1939-10-31 23:00:00

America/Argentina/Buenos_Aires: 1940-07-01 01:00:00 != 1940-06-30 23:00:00

America/Argentina/Buenos_Aires: 1941-10-15 01:00:00 != 1941-10-14 23:00:00

America/Argentina/Buenos_Aires: 1943-10-15 01:00:00 != 1943-10-14 23:00:00

America/Argentina/Buenos_Aires: 1946-10-01 01:00:00 != 1946-09-30 23:00:00

America/Argentina/Buenos_Aires: 1963-12-15 01:00:00 != 1963-12-14 23:00:00

America/Argentina/Buenos_Aires: 1964-10-15 01:00:00 != 1964-10-14 23:00:00

America/Argentina/Buenos_Aires: 1965-10-15 01:00:00 != 1965-10-14 23:00:00

America/Argentina/Buenos_Aires: 1966-10-15 01:00:00 != 1966-10-14 23:00:00

America/Argentina/Buenos_Aires: 1967-10-01 01:00:00 != 1967-09-30 23:00:00

America/Argentina/Buenos_Aires: 1968-10-06 01:00:00 != 1968-10-05 23:00:00

America/Argentina/Buenos_Aires: 1969-10-05 01:00:00 != 1969-10-04 23:00:00

America/Argentina/Buenos_Aires: 1974-01-23 01:00:00 != 1974-01-22 23:00:00

America/Argentina/Buenos_Aires: 1988-12-01 01:00:00 != 1988-11-30 23:00:00

America/Argentina/Buenos_Aires: 1989-10-15 01:00:00 != 1989-10-14 23:00:00

America/Argentina/Buenos_Aires: 1990-10-21 01:00:00 != 1990-10-20 23:00:00

America/Argentina/Buenos_Aires: 1991-10-20 01:00:00 != 1991-10-19 23:00:00

America/Argentina/Buenos_Aires: 1992-10-18 01:00:00 != 1992-10-17 23:00:00

America/Argentina/Buenos_Aires: 2008-12-30 01:00:00 != 2007-12-29 23:00:00

America/Argentina/Buenos_Aires: 2008-10-19 01:00:00 != 2008-10-18 23:00:00

America/Argentina/Catamarca: 1920-05-01 00:16:48 != 1920-04-30 23:43:12

America/Argentina/Catamarca: 1930-12-01 01:00:00 != 1930-11-30 23:00:00

America/Argentina/Catamarca: 1931-10-15 01:00:00 != 1931-10-14 23:00:00

America/Argentina/Catamarca: 1932-11-01 01:00:00 != 1932-10-31 23:00:00

America/Argentina/Catamarca: 1933-11-01 01:00:00 != 1933-10-31 23:00:00

America/Argentina/Catamarca: 1934-11-01 01:00:00 != 1934-10-31 23:00:00

America/Argentina/Catamarca: 1935-11-01 01:00:00 != 1935-10-31 23:00:00

America/Argentina/Catamarca: 1936-11-01 01:00:00 != 1936-10-31 23:00:00

America/Argentina/Catamarca: 1937-11-01 01:00:00 != 1937-10-31 23:00:00

America/Argentina/Catamarca: 1938-11-01 01:00:00 != 1938-10-31 23:00:00

America/Argentina/Catamarca: 1939-11-01 01:00:00 != 1939-10-31 23:00:00

America/Argentina/Catamarca: 1940-07-01 01:00:00 != 1940-06-30 23:00:00

America/Argentina/Catamarca: 1941-10-15 01:00:00 != 1941-10-14 23:00:00

America/Argentina/Catamarca: 1943-10-15 01:00:00 != 1943-10-14 23:00:00

America/Argentina/Catamarca: 1946-10-01 01:00:00 != 1946-09-30 23:00:00

America/Argentina/Catamarca: 1963-12-15 01:00:00 != 1963-12-14 23:00:00

America/Argentina/Catamarca: 1964-10-15 01:00:00 != 1964-10-14 23:00:00

America/Argentina/Catamarca: 1965-10-15 01:00:00 != 1965-10-14 23:00:00

America/Argentina/Catamarca: 1966-10-15 01:00:00 != 1966-10-14 23:00:00

America/Argentina/Catamarca: 1967-10-01 01:00:00 != 1967-09-30 23:00:00

America/Argentina/Catamarca: 1968-10-06 01:00:00 != 1968-10-05 23:00:00

America/Argentina/Catamarca: 1969-10-05 01:00:00 != 1969-10-04 23:00:00

America/Argentina/Catamarca: 1974-01-23 01:00:00 != 1974-01-22 23:00:00

America/Argentina/Catamarca: 1988-12-01 01:00:00 != 1988-11-30 23:00:00

America/Argentina/Catamarca: 1989-10-15 01:00:00 != 1989-10-14 23:00:00

America/Argentina/Catamarca: 1990-10-21 01:00:00 != 1990-10-20 23:00:00

America/Argentina/Catamarca: 1991-10-20 02:00:00 != 1991-10-19 22:00:00

America/Argentina/Catamarca: 1992-10-18 01:00:00 != 1992-10-17 23:00:00

America/Argentina/Catamarca: 2004-06-20 01:00:00 != 2004-06-19 23:00:00

America/Argentina/Catamarca: 2008-12-30 01:00:00 != 2007-12-29 23:00:00

America/Argentina/ComodRivadavia: 1920-05-01 00:16:48 != 1920-04-30 23:43:12

America/Argentina/ComodRivadavia: 1930-12-01 01:00:00 != 1930-11-30 23:00:00

America/Argentina/ComodRivadavia: 1931-10-15 01:00:00 != 1931-10-14 23:00:00

America/Argentina/ComodRivadavia: 1932-11-01 01:00:00 != 1932-10-31 23:00:00

America/Argentina/ComodRivadavia: 1933-11-01 01:00:00 != 1933-10-31 23:00:00

America/Argentina/ComodRivadavia: 1934-11-01 01:00:00 != 1934-10-31 23:00:00

America/Argentina/ComodRivadavia: 1935-11-01 01:00:00 != 1935-10-31 23:00:00

America/Argentina/ComodRivadavia: 1936-11-01 01:00:00 != 1936-10-31 23:00:00

America/Argentina/ComodRivadavia: 1937-11-01 01:00:00 != 1937-10-31 23:00:00

America/Argentina/ComodRivadavia: 1938-11-01 01:00:00 != 1938-10-31 23:00:00

America/Argentina/ComodRivadavia: 1939-11-01 01:00:00 != 1939-10-31 23:00:00

America/Argentina/ComodRivadavia: 1940-07-01 01:00:00 != 1940-06-30 23:00:00

America/Argentina/ComodRivadavia: 1941-10-15 01:00:00 != 1941-10-14 23:00:00

America/Argentina/ComodRivadavia: 1943-10-15 01:00:00 != 1943-10-14 23:00:00

America/Argentina/ComodRivadavia: 1946-10-01 01:00:00 != 1946-09-30 23:00:00

America/Argentina/ComodRivadavia: 1963-12-15 01:00:00 != 1963-12-14 23:00:00

America/Argentina/ComodRivadavia: 1964-10-15 01:00:00 != 1964-10-14 23:00:00

America/Argentina/ComodRivadavia: 1965-10-15 01:00:00 != 1965-10-14 23:00:00

America/Argentina/ComodRivadavia: 1966-10-15 01:00:00 != 1966-10-14 23:00:00

America/Argentina/ComodRivadavia: 1967-10-01 01:00:00 != 1967-09-30 23:00:00

America/Argentina/ComodRivadavia: 1968-10-06 01:00:00 != 1968-10-05 23:00:00

America/Argentina/ComodRivadavia: 1969-10-05 01:00:00 != 1969-10-04 23:00:00

America/Argentina/ComodRivadavia: 1974-01-23 01:00:00 != 1974-01-22 23:00:00

America/Argentina/ComodRivadavia: 1988-12-01 01:00:00 != 1988-11-30 23:00:00

America/Argentina/ComodRivadavia: 1989-10-15 01:00:00 != 1989-10-14 23:00:00

America/Argentina/ComodRivadavia: 1990-10-21 01:00:00 != 1990-10-20 23:00:00

America/Argentina/ComodRivadavia: 1991-10-20 02:00:00 != 1991-10-19 22:00:00

America/Argentina/ComodRivadavia: 1992-10-18 01:00:00 != 1992-10-17 23:00:00

America/Argentina/ComodRivadavia: 2004-06-20 01:00:00 != 2004-06-19 23:00:00

America/Argentina/ComodRivadavia: 2008-12-30 01:00:00 != 2007-12-29 23:00:00

America/Argentina/Cordoba: 1920-05-01 00:16:48 != 1920-04-30 23:43:12

America/Argentina/Cordoba: 1930-12-01 01:00:00 != 1930-11-30 23:00:00

America/Argentina/Cordoba: 1931-10-15 01:00:00 != 1931-10-14 23:00:00

America/Argentina/Cordoba: 1932-11-01 01:00:00 != 1932-10-31 23:00:00

America/Argentina/Cordoba: 1933-11-01 01:00:00 != 1933-10-31 23:00:00

America/Argentina/Cordoba: 1934-11-01 01:00:00 != 1934-10-31 23:00:00

America/Argentina/Cordoba: 1935-11-01 01:00:00 != 1935-10-31 23:00:00

America/Argentina/Cordoba: 1936-11-01 01:00:00 != 1936-10-31 23:00:00

America/Argentina/Cordoba: 1937-11-01 01:00:00 != 1937-10-31 23:00:00

America/Argentina/Cordoba: 1938-11-01 01:00:00 != 1938-10-31 23:00:00

America/Argentina/Cordoba: 1939-11-01 01:00:00 != 1939-10-31 23:00:00

America/Argentina/Cordoba: 1940-07-01 01:00:00 != 1940-06-30 23:00:00

America/Argentina/Cordoba: 1941-10-15 01:00:00 != 1941-10-14 23:00:00

America/Argentina/Cordoba: 1943-10-15 01:00:00 != 1943-10-14 23:00:00

America/Argentina/Cordoba: 1946-10-01 01:00:00 != 1946-09-30 23:00:00

America/Argentina/Cordoba: 1963-12-15 01:00:00 != 1963-12-14 23:00:00

America/Argentina/Cordoba: 1964-10-15 01:00:00 != 1964-10-14 23:00:00

America/Argentina/Cordoba: 1965-10-15 01:00:00 != 1965-10-14 23:00:00

America/Argentina/Cordoba: 1966-10-15 01:00:00 != 1966-10-14 23:00:00

America/Argentina/Cordoba: 1967-10-01 01:00:00 != 1967-09-30 23:00:00

America/Argentina/Cordoba: 1968-10-06 01:00:00 != 1968-10-05 23:00:00

America/Argentina/Cordoba: 1969-10-05 01:00:00 != 1969-10-04 23:00:00

America/Argentina/Cordoba: 1974-01-23 01:00:00 != 1974-01-22 23:00:00

America/Argentina/Cordoba: 1988-12-01 01:00:00 != 1988-11-30 23:00:00

America/Argentina/Cordoba: 1989-10-15 01:00:00 != 1989-10-14 23:00:00

America/Argentina/Cordoba: 1990-10-21 01:00:00 != 1990-10-20 23:00:00

America/Argentina/Cordoba: 1991-10-20 02:00:00 != 1991-10-19 22:00:00

America/Argentina/Cordoba: 1992-10-18 01:00:00 != 1992-10-17 23:00:00

America/Argentina/Cordoba: 2008-12-30 01:00:00 != 2007-12-29 23:00:00

America/Argentina/Cordoba: 2008-10-19 01:00:00 != 2008-10-18 23:00:00

America/Argentina/Jujuy: 1920-05-01 00:16:48 != 1920-04-30 23:43:12

America/Argentina/Jujuy: 1930-12-01 01:00:00 != 1930-11-30 23:00:00

America/Argentina/Jujuy: 1931-10-15 01:00:00 != 1931-10-14 23:00:00

America/Argentina/Jujuy: 1932-11-01 01:00:00 != 1932-10-31 23:00:00

America/Argentina/Jujuy: 1933-11-01 01:00:00 != 1933-10-31 23:00:00

America/Argentina/Jujuy: 1934-11-01 01:00:00 != 1934-10-31 23:00:00

America/Argentina/Jujuy: 1935-11-01 01:00:00 != 1935-10-31 23:00:00

America/Argentina/Jujuy: 1936-11-01 01:00:00 != 1936-10-31 23:00:00

America/Argentina/Jujuy: 1937-11-01 01:00:00 != 1937-10-31 23:00:00

America/Argentina/Jujuy: 1938-11-01 01:00:00 != 1938-10-31 23:00:00

America/Argentina/Jujuy: 1939-11-01 01:00:00 != 1939-10-31 23:00:00

America/Argentina/Jujuy: 1940-07-01 01:00:00 != 1940-06-30 23:00:00

America/Argentina/Jujuy: 1941-10-15 01:00:00 != 1941-10-14 23:00:00

America/Argentina/Jujuy: 1943-10-15 01:00:00 != 1943-10-14 23:00:00

America/Argentina/Jujuy: 1946-10-01 01:00:00 != 1946-09-30 23:00:00

America/Argentina/Jujuy: 1963-12-15 01:00:00 != 1963-12-14 23:00:00

America/Argentina/Jujuy: 1964-10-15 01:00:00 != 1964-10-14 23:00:00

America/Argentina/Jujuy: 1965-10-15 01:00:00 != 1965-10-14 23:00:00

America/Argentina/Jujuy: 1966-10-15 01:00:00 != 1966-10-14 23:00:00

America/Argentina/Jujuy: 1967-10-01 01:00:00 != 1967-09-30 23:00:00

America/Argentina/Jujuy: 1968-10-06 01:00:00 != 1968-10-05 23:00:00

America/Argentina/Jujuy: 1969-10-05 01:00:00 != 1969-10-04 23:00:00

America/Argentina/Jujuy: 1974-01-23 01:00:00 != 1974-01-22 23:00:00

America/Argentina/Jujuy: 1988-12-01 01:00:00 != 1988-11-30 23:00:00

America/Argentina/Jujuy: 1989-10-15 01:00:00 != 1989-10-14 23:00:00

America/Argentina/Jujuy: 1990-10-28 01:00:00 != 1990-10-27 23:00:00

America/Argentina/Jujuy: 1991-10-06 02:00:00 != 1991-10-05 22:00:00

America/Argentina/Jujuy: 1992-10-18 01:00:00 != 1992-10-17 23:00:00

America/Argentina/Jujuy: 2008-12-30 01:00:00 != 2007-12-29 23:00:00

America/Argentina/La_Rioja: 1920-05-01 00:16:48 != 1920-04-30 23:43:12

America/Argentina/La_Rioja: 1930-12-01 01:00:00 != 1930-11-30 23:00:00

America/Argentina/La_Rioja: 1931-10-15 01:00:00 != 1931-10-14 23:00:00

America/Argentina/La_Rioja: 1932-11-01 01:00:00 != 1932-10-31 23:00:00

America/Argentina/La_Rioja: 1933-11-01 01:00:00 != 1933-10-31 23:00:00

America/Argentina/La_Rioja: 1934-11-01 01:00:00 != 1934-10-31 23:00:00

America/Argentina/La_Rioja: 1935-11-01 01:00:00 != 1935-10-31 23:00:00

America/Argentina/La_Rioja: 1936-11-01 01:00:00 != 1936-10-31 23:00:00

America/Argentina/La_Rioja: 1937-11-01 01:00:00 != 1937-10-31 23:00:00

America/Argentina/La_Rioja: 1938-11-01 01:00:00 != 1938-10-31 23:00:00

America/Argentina/La_Rioja: 1939-11-01 01:00:00 != 1939-10-31 23:00:00

America/Argentina/La_Rioja: 1940-07-01 01:00:00 != 1940-06-30 23:00:00

America/Argentina/La_Rioja: 1941-10-15 01:00:00 != 1941-10-14 23:00:00

America/Argentina/La_Rioja: 1943-10-15 01:00:00 != 1943-10-14 23:00:00

America/Argentina/La_Rioja: 1946-10-01 01:00:00 != 1946-09-30 23:00:00

America/Argentina/La_Rioja: 1963-12-15 01:00:00 != 1963-12-14 23:00:00

America/Argentina/La_Rioja: 1964-10-15 01:00:00 != 1964-10-14 23:00:00

America/Argentina/La_Rioja: 1965-10-15 01:00:00 != 1965-10-14 23:00:00

America/Argentina/La_Rioja: 1966-10-15 01:00:00 != 1966-10-14 23:00:00

America/Argentina/La_Rioja: 1967-10-01 01:00:00 != 1967-09-30 23:00:00

America/Argentina/La_Rioja: 1968-10-06 01:00:00 != 1968-10-05 23:00:00

America/Argentina/La_Rioja: 1969-10-05 01:00:00 != 1969-10-04 23:00:00

America/Argentina/La_Rioja: 1974-01-23 01:00:00 != 1974-01-22 23:00:00

America/Argentina/La_Rioja: 1988-12-01 01:00:00 != 1988-11-30 23:00:00

America/Argentina/La_Rioja: 1989-10-15 01:00:00 != 1989-10-14 23:00:00

America/Argentina/La_Rioja: 1990-10-21 01:00:00 != 1990-10-20 23:00:00

America/Argentina/La_Rioja: 1991-05-07 01:00:00 != 1991-05-06 23:00:00

America/Argentina/La_Rioja: 1991-10-20 01:00:00 != 1991-10-19 23:00:00

America/Argentina/La_Rioja: 1992-10-18 01:00:00 != 1992-10-17 23:00:00

America/Argentina/La_Rioja: 2004-06-20 01:00:00 != 2004-06-19 23:00:00

America/Argentina/La_Rioja: 2008-12-30 01:00:00 != 2007-12-29 23:00:00

America/Argentina/Mendoza: 1920-05-01 00:16:48 != 1920-04-30 23:43:12

America/Argentina/Mendoza: 1930-12-01 01:00:00 != 1930-11-30 23:00:00

America/Argentina/Mendoza: 1931-10-15 01:00:00 != 1931-10-14 23:00:00

America/Argentina/Mendoza: 1932-11-01 01:00:00 != 1932-10-31 23:00:00

America/Argentina/Mendoza: 1933-11-01 01:00:00 != 1933-10-31 23:00:00

America/Argentina/Mendoza: 1934-11-01 01:00:00 != 1934-10-31 23:00:00

America/Argentina/Mendoza: 1935-11-01 01:00:00 != 1935-10-31 23:00:00

America/Argentina/Mendoza: 1936-11-01 01:00:00 != 1936-10-31 23:00:00

America/Argentina/Mendoza: 1937-11-01 01:00:00 != 1937-10-31 23:00:00

America/Argentina/Mendoza: 1938-11-01 01:00:00 != 1938-10-31 23:00:00

America/Argentina/Mendoza: 1939-11-01 01:00:00 != 1939-10-31 23:00:00

America/Argentina/Mendoza: 1940-07-01 01:00:00 != 1940-06-30 23:00:00

America/Argentina/Mendoza: 1941-10-15 01:00:00 != 1941-10-14 23:00:00

America/Argentina/Mendoza: 1943-10-15 01:00:00 != 1943-10-14 23:00:00

America/Argentina/Mendoza: 1946-10-01 01:00:00 != 1946-09-30 23:00:00

America/Argentina/Mendoza: 1963-12-15 01:00:00 != 1963-12-14 23:00:00

America/Argentina/Mendoza: 1964-10-15 01:00:00 != 1964-10-14 23:00:00

America/Argentina/Mendoza: 1965-10-15 01:00:00 != 1965-10-14 23:00:00

America/Argentina/Mendoza: 1966-10-15 01:00:00 != 1966-10-14 23:00:00

America/Argentina/Mendoza: 1967-10-01 01:00:00 != 1967-09-30 23:00:00

America/Argentina/Mendoza: 1968-10-06 01:00:00 != 1968-10-05 23:00:00

America/Argentina/Mendoza: 1969-10-05 01:00:00 != 1969-10-04 23:00:00

America/Argentina/Mendoza: 1974-01-23 01:00:00 != 1974-01-22 23:00:00

America/Argentina/Mendoza: 1988-12-01 01:00:00 != 1988-11-30 23:00:00

America/Argentina/Mendoza: 1989-10-15 01:00:00 != 1989-10-14 23:00:00

America/Argentina/Mendoza: 1990-10-15 01:00:00 != 1990-10-14 23:00:00

America/Argentina/Mendoza: 1991-10-15 01:00:00 != 1991-10-14 23:00:00

America/Argentina/Mendoza: 1992-10-18 02:00:00 != 1992-10-17 22:00:00

America/Argentina/Mendoza: 2004-09-26 01:00:00 != 2004-09-25 23:00:00

America/Argentina/Mendoza: 2008-12-30 01:00:00 != 2007-12-29 23:00:00

America/Argentina/Rio_Gallegos: 1920-05-01 00:16:48 != 1920-04-30 23:43:12

America/Argentina/Rio_Gallegos: 1930-12-01 01:00:00 != 1930-11-30 23:00:00

America/Argentina/Rio_Gallegos: 1931-10-15 01:00:00 != 1931-10-14 23:00:00

America/Argentina/Rio_Gallegos: 1932-11-01 01:00:00 != 1932-10-31 23:00:00

America/Argentina/Rio_Gallegos: 1933-11-01 01:00:00 != 1933-10-31 23:00:00

America/Argentina/Rio_Gallegos: 1934-11-01 01:00:00 != 1934-10-31 23:00:00

America/Argentina/Rio_Gallegos: 1935-11-01 01:00:00 != 1935-10-31 23:00:00

America/Argentina/Rio_Gallegos: 1936-11-01 01:00:00 != 1936-10-31 23:00:00

America/Argentina/Rio_Gallegos: 1937-11-01 01:00:00 != 1937-10-31 23:00:00

America/Argentina/Rio_Gallegos: 1938-11-01 01:00:00 != 1938-10-31 23:00:00

America/Argentina/Rio_Gallegos: 1939-11-01 01:00:00 != 1939-10-31 23:00:00

America/Argentina/Rio_Gallegos: 1940-07-01 01:00:00 != 1940-06-30 23:00:00

America/Argentina/Rio_Gallegos: 1941-10-15 01:00:00 != 1941-10-14 23:00:00

America/Argentina/Rio_Gallegos: 1943-10-15 01:00:00 != 1943-10-14 23:00:00

America/Argentina/Rio_Gallegos: 1946-10-01 01:00:00 != 1946-09-30 23:00:00

America/Argentina/Rio_Gallegos: 1963-12-15 01:00:00 != 1963-12-14 23:00:00

America/Argentina/Rio_Gallegos: 1964-10-15 01:00:00 != 1964-10-14 23:00:00

America/Argentina/Rio_Gallegos: 1965-10-15 01:00:00 != 1965-10-14 23:00:00

America/Argentina/Rio_Gallegos: 1966-10-15 01:00:00 != 1966-10-14 23:00:00

America/Argentina/Rio_Gallegos: 1967-10-01 01:00:00 != 1967-09-30 23:00:00

America/Argentina/Rio_Gallegos: 1968-10-06 01:00:00 != 1968-10-05 23:00:00

America/Argentina/Rio_Gallegos: 1969-10-05 01:00:00 != 1969-10-04 23:00:00

America/Argentina/Rio_Gallegos: 1974-01-23 01:00:00 != 1974-01-22 23:00:00

America/Argentina/Rio_Gallegos: 1988-12-01 01:00:00 != 1988-11-30 23:00:00

America/Argentina/Rio_Gallegos: 1989-10-15 01:00:00 != 1989-10-14 23:00:00

America/Argentina/Rio_Gallegos: 1990-10-21 01:00:00 != 1990-10-20 23:00:00

America/Argentina/Rio_Gallegos: 1991-10-20 01:00:00 != 1991-10-19 23:00:00

America/Argentina/Rio_Gallegos: 1992-10-18 01:00:00 != 1992-10-17 23:00:00

America/Argentina/Rio_Gallegos: 2004-06-20 01:00:00 != 2004-06-19 23:00:00

America/Argentina/Rio_Gallegos: 2008-12-30 01:00:00 != 2007-12-29 23:00:00

America/Argentina/Salta: 1920-05-01 00:16:48 != 1920-04-30 23:43:12

America/Argentina/Salta: 1930-12-01 01:00:00 != 1930-11-30 23:00:00

America/Argentina/Salta: 1931-10-15 01:00:00 != 1931-10-14 23:00:00

America/Argentina/Salta: 1932-11-01 01:00:00 != 1932-10-31 23:00:00

America/Argentina/Salta: 1933-11-01 01:00:00 != 1933-10-31 23:00:00

America/Argentina/Salta: 1934-11-01 01:00:00 != 1934-10-31 23:00:00

America/Argentina/Salta: 1935-11-01 01:00:00 != 1935-10-31 23:00:00

America/Argentina/Salta: 1936-11-01 01:00:00 != 1936-10-31 23:00:00

America/Argentina/Salta: 1937-11-01 01:00:00 != 1937-10-31 23:00:00

America/Argentina/Salta: 1938-11-01 01:00:00 != 1938-10-31 23:00:00

America/Argentina/Salta: 1939-11-01 01:00:00 != 1939-10-31 23:00:00

America/Argentina/Salta: 1940-07-01 01:00:00 != 1940-06-30 23:00:00

America/Argentina/Salta: 1941-10-15 01:00:00 != 1941-10-14 23:00:00

America/Argentina/Salta: 1943-10-15 01:00:00 != 1943-10-14 23:00:00

America/Argentina/Salta: 1946-10-01 01:00:00 != 1946-09-30 23:00:00

America/Argentina/Salta: 1963-12-15 01:00:00 != 1963-12-14 23:00:00

America/Argentina/Salta: 1964-10-15 01:00:00 != 1964-10-14 23:00:00

America/Argentina/Salta: 1965-10-15 01:00:00 != 1965-10-14 23:00:00

America/Argentina/Salta: 1966-10-15 01:00:00 != 1966-10-14 23:00:00

America/Argentina/Salta: 1967-10-01 01:00:00 != 1967-09-30 23:00:00

America/Argentina/Salta: 1968-10-06 01:00:00 != 1968-10-05 23:00:00

America/Argentina/Salta: 1969-10-05 01:00:00 != 1969-10-04 23:00:00

America/Argentina/Salta: 1974-01-23 01:00:00 != 1974-01-22 23:00:00

America/Argentina/Salta: 1988-12-01 01:00:00 != 1988-11-30 23:00:00

America/Argentina/Salta: 1989-10-15 01:00:00 != 1989-10-14 23:00:00

America/Argentina/Salta: 1990-10-21 01:00:00 != 1990-10-20 23:00:00

America/Argentina/Salta: 1991-10-20 02:00:00 != 1991-10-19 22:00:00

America/Argentina/Salta: 1992-10-18 01:00:00 != 1992-10-17 23:00:00

America/Argentina/Salta: 2008-12-30 01:00:00 != 2007-12-29 23:00:00

America/Argentina/San_Juan: 1920-05-01 00:16:48 != 1920-04-30 23:43:12

America/Argentina/San_Juan: 1930-12-01 01:00:00 != 1930-11-30 23:00:00

America/Argentina/San_Juan: 1931-10-15 01:00:00 != 1931-10-14 23:00:00

America/Argentina/San_Juan: 1932-11-01 01:00:00 != 1932-10-31 23:00:00

America/Argentina/San_Juan: 1933-11-01 01:00:00 != 1933-10-31 23:00:00

America/Argentina/San_Juan: 1934-11-01 01:00:00 != 1934-10-31 23:00:00

America/Argentina/San_Juan: 1935-11-01 01:00:00 != 1935-10-31 23:00:00

America/Argentina/San_Juan: 1936-11-01 01:00:00 != 1936-10-31 23:00:00

America/Argentina/San_Juan: 1937-11-01 01:00:00 != 1937-10-31 23:00:00

